map_id,layer_index,layer_name,design_role,expected_node_count,notes
abyss_wilds,0,????,???,1,??1~4?????????
abyss_wilds,1,D1,?????,1,??1~4?????????
abyss_wilds,2,D2,?????????,2,??1~4?????????
abyss_wilds,3,D3,?????????,3,??1~4?????????
abyss_wilds,4,D4,?????????,3,??1~4?????????
abyss_wilds,5,D5,?????????,2,??1~4?????????
abyss_wilds,6,D6,?????????,3,??1~4?????????
abyss_wilds,7,D7,?????????,3,??1~4?????????
abyss_wilds,8,D8,?????????,4,??1~4?????????
abyss_wilds,9,D9,?????????,3,??1~4?????????
abyss_wilds,10,D10,???????,2,??1~4?????????
abyss_wilds,11,D11,?????????,2,??1~4?????????
abyss_wilds,12,D12,?????????,3,??1~4?????????
abyss_wilds,13,D13,?????????,3,??1~4?????????
abyss_wilds,14,D14,?????????,3,??1~4?????????
abyss_wilds,15,D15,???????,2,??1~4?????????
abyss_wilds,16,D16,?????????,1,??1~4?????????
abyss_wilds,17,D17,?????????,3,??1~4?????????
abyss_wilds,18,D18,?????????,3,??1~4?????????
abyss_wilds,19,D19,Boss???,1,??1~4?????????
abyss_wilds,20,D20,??Boss,1,??1~4?????????
