map_id,node_id,node_name,layer,type,enemy_preset_id,reward_gold,reward_treasure_id,x,y,design_intent,completion_result,notes
abyss_wilds,abyss_start,营地篝火,0,start,,0,,0.5,0.03,起点,无奖励,一局冒险的初始位置
abyss_wilds,abyss_L1_battle_1,荒野劫匪,1,battle,wild_bandits,2,,0.22,0.09,第一场战斗/教学级,胜利后进入下一经营回合,失败GameOver
abyss_wilds,abyss_L1_resource_1,遗弃货箱,1,resource,,3,,0.78,0.09,安全资源路线,领取后进入下一经营回合,不触发战斗
abyss_wilds,abyss_L2_battle_1,废墟哨卫,2,battle,ruin_sentry,3,,0.22,0.17,首次引入治疗型敌人,胜利后进入下一经营回合,失败GameOver
abyss_wilds,abyss_L2_treasure_1,破碎神龛,2,treasure,,0,old_talisman,0.78,0.17,首个宝物点/古符咒,领取后进入下一经营回合,引导宝物概念
abyss_wilds,abyss_L3_battle_1,影棘先锋,3,battle,shadow_scout,3,,0.1,0.24,左侧战斗/安全路径,胜利后进入下一经营回合,失败GameOver
abyss_wilds,abyss_L3_battle_2,荆棘哨卫,3,battle,shadow_scout,3,,0.5,0.24,中央战斗/标准路径,胜利后进入下一经营回合,失败GameOver
abyss_wilds,abyss_L3_resource_1,密林宝箱,3,resource,,4,,0.9,0.24,右侧资源/高收益路径,领取后进入下一经营回合,三选一分支开始
abyss_wilds,abyss_L4_battle_1,暗影掠袭者,4,battle,shadow_raiders,4,,0.15,0.31,左侧战斗/新敌人类型,胜利后进入下一经营回合,引入刺客暴击压力
abyss_wilds,abyss_L4_resource_1,废墟补给,4,resource,,4,,0.5,0.31,中央资源/标准补给,领取后进入下一经营回合,
abyss_wilds,abyss_L4_treasure_1,暗影圣所,4,treasure,,0,shadow_cloak,0.85,0.31,右侧宝物/暗影斗篷,领取后进入下一经营回合,
abyss_wilds,abyss_L5_battle_1,腐化前线,5,battle,garrison_line,4,,0.08,0.38,最左侧战斗/协同压力,胜利后进入下一经营回合,卫戍协兵+牧师群体协作
abyss_wilds,abyss_L5_battle_2,暗影伏击,5,battle,shadow_raiders,4,,0.3,0.38,左侧中战斗/刺客组合,胜利后进入下一经营回合,
abyss_wilds,abyss_L5_resource_1,腐化宝箱,5,resource,,4,,0.6,0.38,右侧资源/中收益,领取后进入下一经营回合,
abyss_wilds,abyss_L5_treasure_1,圣香炉,5,treasure,,0,saint_censer,0.92,0.38,最右侧宝物/圣香炉,领取后进入下一经营回合,
abyss_wilds,abyss_L6_battle_1,低语守卫,6,battle,abyss_vanguard,5,,0.08,0.45,最左侧战斗/协同压力+,胜利后进入下一经营回合,卫戍防线升级版
abyss_wilds,abyss_L6_battle_2,暗影突袭,6,battle,garrison_line,5,,0.3,0.45,左侧中战斗/刺客组合+,胜利后进入下一经营回合,
abyss_wilds,abyss_L6_resource_1,低语宝箱,6,resource,,5,,0.6,0.45,右侧资源/较高收益,领取后进入下一经营回合,
abyss_wilds,abyss_L6_treasure_1,回音石窟,6,treasure,,0,shadow_cloak,0.92,0.45,最右侧宝物/暗影斗篷,领取后进入下一经营回合,
abyss_wilds,abyss_L7_battle_1,深渊先锋,7,battle,ruin_defender,5,,0.05,0.52,最左侧战斗/AOE+召唤,胜利后进入下一经营回合,武学大师+光明导师组合
abyss_wilds,abyss_L7_battle_2,灰烬卫士,7,battle,abyss_vanguard,5,,0.23,0.52,左二战斗/协同压力,胜利后进入下一经营回合,
abyss_wilds,abyss_L7_resource_1,灰烬矿脉,7,resource,,5,,0.5,0.52,中央资源/金币充裕,领取后进入下一经营回合,
abyss_wilds,abyss_L7_resource_2,高地货箱,7,resource,,5,,0.72,0.52,右二资源/金币充裕,领取后进入下一经营回合,
abyss_wilds,abyss_L7_treasure_1,灰烬神龛,7,treasure,,0,ruin_crown,0.95,0.52,最右侧宝物/废墟王冠,领取后进入下一经营回合,
abyss_wilds,abyss_L8_battle_1,暮光先锋,8,battle,fallen_sanctum,5,,0.05,0.59,最左侧战斗/AOE+召唤+,胜利后进入下一经营回合,深渊先锋升级
abyss_wilds,abyss_L8_battle_2,盆地卫士,8,battle,ruin_defender,5,,0.23,0.59,左二战斗/协同压力,胜利后进入下一经营回合,
abyss_wilds,abyss_L8_resource_1,暮光宝库,8,resource,,6,,0.5,0.59,中央资源/高金币,领取后进入下一经营回合,
abyss_wilds,abyss_L8_resource_2,盆地货箱,8,resource,,6,,0.72,0.59,右二资源/高金币,领取后进入下一经营回合,
abyss_wilds,abyss_L8_treasure_1,暮光圣徽,8,treasure,,0,ruin_crown,0.95,0.59,最右侧宝物/废墟王冠,领取后进入下一经营回合,
abyss_wilds,abyss_L9_battle_1,赤脊守军,9,battle,shadow_elite,5,,0.1,0.66,最左侧战斗/高协同检验,胜利后进入下一经营回合,莱特使者+卫戍协兵+导师
abyss_wilds,abyss_L9_battle_2,赤脊突击队,9,battle,fallen_sanctum,5,,0.33,0.66,左二战斗/AOE+召唤,胜利后进入下一经营回合,
abyss_wilds,abyss_L9_resource_1,赤脊矿藏,9,resource,,6,,0.65,0.66,右二资源/高金币,领取后进入下一经营回合,
abyss_wilds,abyss_L9_treasure_1,赤脊神殿,9,treasure,,0,ruin_crown,0.92,0.66,最右侧宝物/废墟王冠,领取后进入下一经营回合,
abyss_wilds,abyss_L10_battle_1,隘口圣殿卫,10,battle,garrison_fortress,6,,0.1,0.73,最左侧战斗/高协同强化,胜利后进入下一经营回合,堕落圣殿升级
abyss_wilds,abyss_L10_battle_2,隘口罚罪者,10,battle,shadow_elite,6,,0.33,0.73,左二战斗/高协同强化,胜利后进入下一经营回合,
abyss_wilds,abyss_L10_resource_1,隘口补给线,10,resource,,6,,0.65,0.73,右二资源/高金币,领取后进入下一经营回合,
abyss_wilds,abyss_L10_treasure_1,隘口密室,10,treasure,,0,abyss_heart,0.92,0.73,最右侧宝物/恶兆之心,领取后进入下一经营回合,最高价值宝物
abyss_wilds,abyss_L11_battle_1,堡垒末日先驱,11,battle,doom_herald,6,,0.15,0.8,最左侧战斗/终局检验,胜利后进入下一经营回合,皇家剑士+莱特回响+武学大师
abyss_wilds,abyss_L11_battle_2,堡垒圣殿卫,11,battle,garrison_fortress,6,,0.5,0.8,左二战斗/高协同补强,胜利后进入下一经营回合,
abyss_wilds,abyss_L11_treasure_1,堡垒遗物库,11,treasure,,0,abyss_heart,0.85,0.8,最右侧宝物/恶兆之心,领取后进入下一经营回合,
